Employee No	Date	OT Code	OT Hours	Leave Type	Leave Hours
1710285	09/21/2018			TDY	4.00
1710285	09/21/2018			UT	17.50
1710285	09/21/2018	15	8.00		
1710285	09/22/2018			TDY	4.00
1710285	09/22/2018			UT	17.50
1710285	09/22/2018	10	12763.00		
1710285	09/23/2018			TDY	4.00
1710285	09/23/2018			UT	17.50
1710285	09/23/2018	10	12763.00		
1710285	09/24/2018			TDY	4.00
1710285	09/24/2018			UT	17.50
1710285	09/24/2018	15	8.00		
1710285	09/25/2018			TDY	4.00
1710285	09/25/2018			UT	17.50
1710285	09/25/2018	15	8.00		
1710285	09/25/2018	16 	1.00		
1710285	09/26/2018			TDY	4.00
1710285	09/26/2018			UT	17.50
1710285	09/26/2018	15	8.00		
1710285	09/27/2018			TDY	4.00
1710285	09/27/2018			UT	17.50
1710285	09/27/2018	15	8.00		
1710285	09/27/2018	16 	0.50		
1710285	09/28/2018			TDY	4.00
1710285	09/28/2018			UT	17.50
1710285	09/28/2018	15	8.00		
1710285	09/28/2018	16 	1.50		
1710285	09/29/2018			TDY	4.00
1710285	09/29/2018			UT	17.50
1710285	09/29/2018	10	12762.50		
1710285	09/29/2018	11	0.50		
1710285	09/30/2018			TDY	4.00
1710285	09/30/2018			UT	17.50
1710285	09/30/2018	10	12763.00		
1710285	10/01/2018			TDY	4.00
1710285	10/01/2018			UT	17.50
1710285	10/01/2018	15	8.00		
1710285	10/02/2018			TDY	4.00
1710285	10/02/2018			UT	17.50
1710285	10/02/2018	15	8.00		
1710285	10/03/2018			TDY	4.00
1710285	10/03/2018			UT	17.50
1710285	10/03/2018	15	8.00		
1710285	10/03/2018	16 	1.00		
1710285	10/04/2018			TDY	4.00
1710285	10/04/2018			UT	17.50
1710285	10/04/2018	15	8.00		
