Employee No	Date	OT Code	OT Hours	Leave Type	Leave Hours
1710285	10/05/2018			TDY	4.00
1710285	10/05/2018			UT	17.50
1710285	10/05/2018	15	8.00		
1710285	10/05/2018	16 	6.75		
1710285	10/06/2018			TDY	4.00
1710285	10/06/2018			UT	17.50
1710285	10/06/2018	10	12763.00		
1710285	10/07/2018			TDY	4.00
1710285	10/07/2018			UT	17.50
1710285	10/07/2018	10	12763.00		
1710285	10/08/2018			TDY	4.00
1710285	10/08/2018			UT	17.50
1710285	10/08/2018	15	8.00		
1710285	10/09/2018			TDY	4.00
1710285	10/09/2018			UT	17.50
1710285	10/09/2018	15	8.00		
1710285	10/09/2018	16 	1.00		
1710285	10/10/2018			TDY	4.00
1710285	10/10/2018			UT	17.50
1710285	10/10/2018	15	8.00		
1710285	10/11/2018			TDY	4.00
1710285	10/11/2018			UT	17.50
1710285	10/11/2018	15	8.00		
1710285	10/11/2018	16 	1.00		
1710285	10/12/2018			TDY	4.00
1710285	10/12/2018			UT	17.50
1710285	10/12/2018	15	8.00		
1710285	10/13/2018			TDY	4.00
1710285	10/13/2018			UT	17.50
1710285	10/13/2018	10	12763.00		
1710285	10/14/2018			TDY	4.00
1710285	10/14/2018			UT	17.50
1710285	10/14/2018	10	12763.00		
1710285	10/15/2018			TDY	4.00
1710285	10/15/2018			UT	17.50
1710285	10/15/2018	15	8.00		
1710285	10/15/2018	16 	0.50		
1710285	10/16/2018			TDY	4.00
1710285	10/16/2018			UT	17.50
1710285	10/16/2018	15	8.00		
1710285	10/17/2018			TDY	4.00
1710285	10/17/2018			UT	17.50
1710285	10/17/2018	15	8.00		
1710285	10/18/2018			TDY	4.00
1710285	10/18/2018			UT	17.50
1710285	10/18/2018	15	8.00		
1710285	10/18/2018	16 	2.00		
1710285	10/19/2018			TDY	4.00
1710285	10/19/2018			UT	17.50
1710285	10/19/2018	15	8.00		
1710285	10/19/2018	16 	2.00		
1710285	10/20/2018			TDY	4.00
1710285	10/20/2018			UT	17.50
1710285	10/20/2018	10	12755.00		
1710285	10/20/2018	11	8.00		
1710285	10/21/2018			TDY	4.00
1710285	10/21/2018			UT	17.50
1710285	10/21/2018	10	12706.75		
1710285	10/21/2018	11	18.82		
1710285	10/22/2018			TDY	4.00
1710285	10/22/2018			UT	17.50
1710285	10/22/2018	15	8.00		
1710285	10/23/2018			TDY	4.00
1710285	10/23/2018			UT	17.50
1710285	10/23/2018	15	8.00		
