Employee No	Date	OT Code	OT Hours	Leave Type	Leave Hours
1611229	05/21/2019			TDY	4.00
1611229	05/21/2019			UT	17.50
1611229	05/21/2019	15	8.00		
1611229	05/21/2019	16 	9.50		
1611229	05/22/2019			TDY	4.00
1611229	05/22/2019			UT	17.50
1611229	05/22/2019	15	8.00		
1611229	05/22/2019	16 	8.00		
1611229	05/23/2019			TDY	4.00
1611229	05/23/2019			UT	17.50
1611229	05/23/2019	15	8.00		
1611229	05/23/2019	16 	21.25		
1611229	05/24/2019			TDY	4.00
1611229	05/24/2019			UT	17.50
1611229	05/24/2019	15	8.00		
1611229	05/24/2019	16 	8.00		
1611229	05/25/2019			TDY	4.00
1611229	05/25/2019			UT	17.50
1611229	05/25/2019	10	12739.00		
1611229	05/25/2019	11	16.00		
1611229	05/26/2019			TDY	4.00
1611229	05/26/2019			UT	17.50
1611229	05/26/2019	10	12755.00		
1611229	05/26/2019	11	8.00		
1611229	05/27/2019			TDY	4.00
1611229	05/27/2019			UT	17.50
1611229	05/27/2019	15	8.00		
1611229	05/27/2019	16 	8.00		
1611229	05/28/2019			TDY	4.00
1611229	05/28/2019			UT	17.50
1611229	05/28/2019	15	8.00		
1611229	05/28/2019	16 	8.00		
1611229	05/29/2019			TDY	4.00
1611229	05/29/2019			UT	17.50
1611229	05/29/2019	15	8.00		
1611229	05/29/2019	16 	8.00		
1611229	05/30/2019			TDY	4.00
1611229	05/30/2019			UT	17.50
1611229	05/30/2019	15	8.00		
1611229	05/30/2019	16 	1.00		
1611229	05/31/2019			TDY	4.00
1611229	05/31/2019			UT	17.50
1611229	05/31/2019	15	8.00		
1611229	06/01/2019			TDY	4.00
1611229	06/01/2019			UT	17.50
1611229	06/01/2019	10	12763.00		
1611229	06/02/2019			TDY	4.00
1611229	06/02/2019			UT	17.50
1611229	06/02/2019	10	12755.00		
1611229	06/02/2019	11	8.00		
1611229	06/03/2019			TDY	4.00
1611229	06/03/2019			UT	17.50
1611229	06/03/2019	15	8.00		
1611229	06/03/2019	16 	8.50		
1611229	06/04/2019			TDY	4.00
1611229	06/04/2019			UT	17.50
1611229	06/04/2019	15	8.00		
1611229	06/05/2019			TDY	4.00
1611229	06/05/2019			UT	17.50
1611229	06/05/2019	1	8.00		
1611229	06/05/2019	2	8222.75		
