Employee No	Date	OT Code	OT Hours	Leave Type	Leave Hours
1611229	05/21/2019			TDY	4.00
1611229	05/21/2019			UT	17.50
1611229	05/21/2019	15	8.00		
1611229	05/22/2019			TDY	4.00
1611229	05/22/2019			UT	17.50
1611229	05/22/2019	15	8.00		
1611229	05/23/2019			TDY	4.00
1611229	05/23/2019			UT	17.50
1611229	05/23/2019	15	8.00		
1611229	05/24/2019			TDY	4.00
1611229	05/24/2019			UT	17.50
1611229	05/24/2019	15	8.00		
1611229	05/25/2019			TDY	4.00
1611229	05/25/2019			UT	17.50
1611229	05/27/2019			TDY	4.00
1611229	05/27/2019			UT	17.50
1611229	05/27/2019	15	8.00		
1611229	05/28/2019			TDY	4.00
1611229	05/28/2019			UT	17.50
1611229	05/28/2019	15	8.00		
1611229	05/29/2019			TDY	4.00
1611229	05/29/2019			UT	17.50
1611229	05/29/2019	15	8.00		
1611229	05/30/2019			TDY	4.00
1611229	05/30/2019			UT	17.50
1611229	05/30/2019	15	5.25		
1611229	05/31/2019			TDY	4.00
1611229	05/31/2019			UT	17.50
1611229	05/31/2019	15	1.50		
1611229	06/03/2019			TDY	4.00
1611229	06/03/2019			UT	17.50
1611229	06/03/2019	15	8.00		
1611229	06/04/2019			TDY	4.00
1611229	06/04/2019			UT	17.50
1611229	06/04/2019	15	8.00		
1611229	06/05/2019			UT	8.00
